WigleWifi-1.4,appRelease=2.42,model=Freifunk,release=8.1.0,device=dummy,display=OPM8.190305.001-myself5@M5TR,board=MSM8974,brand=Freifunk
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
4a:87:ef:08:d1:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80810091,7.19446242,0,0,WIFI
be:b5:83:2d:a6:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.887088,7.248968,0,0,WIFI
f2:59:40:81:9d:78,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62504584,6.95338011,0,0,WIFI
0e:00:6e:a8:83:78,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81719,7.1782,0,0,WIFI
92:16:bc:88:3e:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.803449,7.150686,0,0,WIFI
36:2e:f0:d2:ca:10,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.832166,7.282262,0,0,WIFI
86:64:4e:10:1b:f8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.75895,7.16572,0,0,WIFI
de:eb:69:c5:04:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.842077,7.214651,0,0,WIFI
3a:b7:f5:da:26:f8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62195398,6.96122825,0,0,WIFI
16:0a:50:fb:b1:10,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.75712,7.16344,0,0,WIFI
da:af:4f:a1:99:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.60454421,6.98822737,0,0,WIFI
b6:d2:36:dd:69:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81497847,7.15846717,0,0,WIFI
0e:af:73:f1:d6:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.82217019,7.12008476,0,0,WIFI
da:95:c0:92:87:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.84423914,7.20875177,0,0,WIFI
fe:e9:09:5c:a1:a0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62064366,6.96204901,0,0,WIFI
8e:75:3a:06:82:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.78794,7.17784,0,0,WIFI
